term,average_offensiveness
boonga,92
bung,99
curry slurper,86
mockey,83
spigotty,87
Jewbacca,98
bamboo coon,89
four by two,74
quashie,77
Leb,89
muk,83
popolo,85
burrhead,75
mud person,87
moch,89
mock,83
mocky,91
soup taker ,81
ping pang,84
Argie,34
azn,11
anchor baby,65
Anglo,7
AmeriKKKan,23
Afro-Saxon,41
Americoon,98
Africoon,90
camel cowboy,89
pogue,55
lowlander,83
stump jumper,76
moky,97
kyke,99
redskin,98
ocker,81
chili shitter,81
net head,82
boonie,71
dinge,74
guido,80
Bog Irish,66
gubba,83
groid,88
squaw,100
redlegs,88
nigre,99
polack,76
ching chong,83
chee chee,69
Buckwheat,65
dago,78
paleface,50
pineapple nigger,99
papist,90
gyppy,90
carpet pilot,79
bog trotter,83
gator bait,79
darkey,79
ice nigger,98
shanty Irish,59
jockie,74
slag,79
bird,23
jhant,55
jant,50
moke,87
smick,47
gurrier,89
spiv,54
skag,62
scag,68
yobbo,75
yob,78
senga,43
scobe,81
charver,77
charva,51
skanger,77
scanger,76
mil bag,98
millie,89
steek,90
spide,85
scally,87
scallie,96
ned,98
chav,42
surrender monkey,37
tranny,74
three fifths,97
three fifth,96
slave,98
Shy,72
shemale,96
scuffer,90
bogan,73
dhimmi,72
coolie,89
prod,74
pom,98
nip,97
pommie,94
niggar,99
Orangie,72
nigra,99
abo,84
pommy,80
buffie,75
sambo,90
darkie,81
beaney,84
shade,84
Christ killer,93
Gerudo,93
gew,89
Shelta,78
slopy,89
slit,79
Skippy,45
bluegum,69
ghetto,70
chonky,61
chunky,89
spike,71
squinty,96
goober,98
sub human,87
guinea,81
cotton picker,74
greaser,99
Shylock,72
Jap,58
diaper head,86
roundeye,80
jig,97
jijjiboo,86
house nigger,98
jocky,74
octaroon,81
curry stinker,86
white nigger,99
whitey,86
WIC,86
Yank,80
Yankee,80
kraut,70
lemonhead,79
Merkin,73
ZOG,92
sideways pussy,88
cowboy killer,74
eyetie,81
proddy dog,84
prairie nigger,98
Southern fairy,76
coon ass,72
moulie,89
sideways vagina,94
camel humper,95
FOB,88
fresh off the boat,52
gable,75
spade,93
wagon burner,87
moulignon,89
border bunny,85
dune coon,99
mosshead,81
gooky,97
border jumper,82
higger,68
gippo,97
gyppo,90
touch of the tar brush,90
yardie,76
boo,78
Rico Suave,55
redneck,68
muzzie,84
queer,44
nigglet,99
niggur,99
niglet,99
ofay,75
piky,97
piker,78
niggor,99
abbo,86
af,100
sooty,74
alligator bait,72
ape,86
eight ball,91
pickaninny,97
Chinaman,72
nigor,99
chigger,77
Moor,94
African catfish,93
border hopper,85
clam,77
clamhead,77
Bounty bar,56
boxhead,55
bohunk,78
bunga,99
cripple,71
camel jockey,80
dego,75
bug eater,78
domes,74
curry muncher,74
septic,74
spic,81
Ubangee,70
Ubangi,70
sole,79
spear chucker,87
snowflake,77
snout,86
shine,92
shiner,92
slope,83
slant,93
Skip,45
ghost,94
sand nigger,100
gin,86
ginzo,71
gipp,73
slant eye,97
stovepipe,85
Taffy,82
sucker fish,78
tan,83
tar baby,87
teapot,74
gypo,90
gyppie,90
tenker,71
halfrican,81
tiger,94
hick,84
heeb,79
thicklips,100
tinker,81
tynkere,86
heinie,74
hairyback,79
Tommy,90
honkie,71
Hun,75
Hunky,82
hebro,99
trash,52
spigger,100
ike,85
ikey,85
iky,80
Hunkie,82
Honyak,89
Twinkie,90
hymie,72
nicca,89
moon cricket,86
Velcro head,99
jiggaboo,99
Jihadi,70
timber nigger,100
darky,97
coon,89
jungle bunny,87
WASP,34
suntan,77
white chocolate,56
tunnel digger,92
knacker,95
whigger,88
wigga,99
wigger,99
wink,82
wog,80
wop,74
wexican,71
yellow,90
yid,98
leprechaun,67
zebra,61
lawn jockey,98
island nigger,97
jiggabo,86
zip,91
lugan,78
Lebbo,89
zipperhead,97
moxy,73
mud duck,87
mulato,70
mung,86
munt,92
munter,90
mutt,69
mulignan,70
